#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1749296433116878080,8.881784197001252e-16,8.881784197001252e-16,0.0,1.0,-9.76713373654549e-19,2.137941068272678e-18,5.6744267251350134e-18
1749296433330665216,2.590927472567728e-07,-4.760196482145318e-05,-7.542687039396867e-06,0.9999999998275381,-1.0579579935057584e-05,-1.512846888860921e-05,-2.0313097229301996e-06
1749296433448720128,2.4375022551481607e-06,-8.658561835162004e-05,-1.2601587945137993e-05,0.9999999994210774,-1.6354663701094178e-05,-2.975989131310141e-05,2.1723898967462313e-06
1749296433667289856,4.022080501542291e-06,-0.00012868304541768794,-1.9899972004022715e-05,0.9999999987349871,-2.4855047082061067e-05,-4.319923119175712e-05,6.7881545921661134e-06
1749296433786210048,8.641401220366163e-06,-0.00016793753681021428,-2.5584896588881634e-05,0.9999999976283811,-3.0836121828537304e-05,-5.685159312790488e-05,2.3669981567653424e-05
1749296433998333184,1.1568414240770153e-05,-0.00020271840454011425,-3.353843120690314e-05,0.9999999962565583,-3.9526282512333074e-05,-7.247769010479379e-05,2.591411182843886e-05
1749296434114120448,1.2988607119623907e-05,-0.0002416050315652285,-4.132324763972406e-05,0.999999994374056,-4.842583972234651e-05,-8.905540713911308e-05,3.1240365462457964e-05
1749296434326957312,1.2919997804061722e-05,-0.00027985190470314336,-4.683611966926904e-05,0.9999999925978224,-5.419240798983761e-05,-0.00010114452136428545,4.046385776330114e-05
1749296434442688256,1.451274226393906e-05,-0.00032003191136986686,-5.4568997460702207e-05,0.9999999895848598,-6.513967421557673e-05,-0.00011748552702852297,5.276602936898042e-05
1749296434666367744,1.7070770331528706e-05,-0.0003600011002387049,-6.135339423840591e-05,0.9999999862355329,-7.351563783106926e-05,-0.00013435421833863417,6.382263628461641e-05
1749296434787136000,1.995481494088125e-05,-0.00041023605317480616,-7.313981970868966e-05,0.9999999798818363,-8.885737655863931e-05,-0.0001629115312787927,7.616118890729972e-05
1749296435000045312,2.1782587491969707e-05,-0.0004636207747443777,-8.105358036836208e-05,0.9999999743001003,-0.00010209446106567428,-0.00018194369487050548,8.872999212179692e-05
1749296435117284096,2.4409407738623656e-05,-0.0005075154208169508,-8.841389416414103e-05,0.9999999692083729,-0.00011075510615356565,-0.00019815720197160973,0.00010025109960614371
1749296435331513856,2.684611028236361e-05,-0.0005499058896081266,-9.489622698710676e-05,0.9999999649501777,-0.00012121575681013494,-0.00021130880560920172,0.00010370618195943222
1749296435447849472,3.01412527905498e-05,-0.0005846035220669066,-0.00010090560408304583,0.9999999610673982,-0.00012965442895040315,-0.00022401828067806858,0.00010426284722209036
1749296435659341824,3.14712390920846e-05,-0.0006354310491900605,-0.00010696335267157409,0.9999999547671848,-0.00013943269831404644,-0.00023937055955007105,0.00011715752578994358
1749296435776249344,3.2834055270214435e-05,-0.0006855680247523921,-0.00011782268809712448,0.9999999478709007,-0.00014921256015713814,-0.0002575427763575068,0.0001251619994791918
1749296435988853248,3.5426073319300144e-05,-0.0007429993356291575,-0.0001294503864781582,0.999999935306031,-0.00016507583944929866,-0.00028364803992223284,0.00014724703968590024
1749296436104397056,3.687085627035458e-05,-0.0007972198666239549,-0.00014158307863221253,0.9999999249603454,-0.00017886217949320964,-0.0003068252107667787,0.0001547446749785468
1749296436317602816,4.0613340845041535e-05,-0.000839761983225884,-0.0001528965483759137,0.9999999156020523,-0.00018599481759305013,-0.00032974556577061807,0.00015959222433779434
1749296436431988224,4.8947306801494506e-05,-0.0008891314611112477,-0.00016233112470320776,0.9999999101124428,-0.0001915122495419436,-0.0003426864110158201,0.00016020046230792468
1749296436642310400,5.196145999697421e-05,-0.000937050532943573,-0.00017488457393488588,0.9999998950492766,-0.000203621533620533,-0.0003677905437734651,0.0001821258438070364
1749296436757495552,5.592508979201938e-05,-0.0009695302818304441,-0.00018260662623781343,0.9999998871708383,-0.00020947898618621958,-0.0003835581140572408,0.00018617206497968327
1749296436969684992,5.667634356054663e-05,-0.001015591103249669,-0.0001917119132959222,0.9999998724515101,-0.00022363694488602645,-0.000404355405883899,0.00020391220122109854
1749296437084238080,5.78001183484389e-05,-0.0010616213888070547,-0.0001991055227352767,0.9999998604477588,-0.00023231156845367242,-0.0004246660561180203,0.00021164720341690442
1749296437295394560,5.9680662861438805e-05,-0.001101531468163941,-0.00020982825961946006,0.9999998485686751,-0.00024274079411684845,-0.00044426037531692926,0.00021580605315172009
1749296437410381312,6.141915789292796e-05,-0.0011476449688352375,-0.00021914746518092443,0.9999998344843406,-0.00025444447836556585,-0.0004652567362832268,0.00022321619142857746
1749296437618407168,6.24800043453888e-05,-0.0011867202299509216,-0.00022934139894292827,0.999999816967665,-0.0002663973586728127,-0.0004894547074202414,0.00023565053234775557
